12/12/2014 (C) FTSE International Limited 2014. All Rights Reserved,,,,,,,,,,
FTSE ESG Ratings (Global) - Pillar,,,,,,,,,,
 ,,,,,,,,,,
Cons Code,SEDOL,Constituent Name,Pillar,Exposure,Previous Exposure,Score,Previous Score,Score (Supersector Relative),Previous Score (Supersector Relative),Time
72287,6123815,1st Intl Bk of Isr 5,Environmental Pillar,1,,1,,2,,2014-12
72287,6123815,1st Intl Bk of Isr 5,Social Pillar,1.66667,,1,,4,,2014-12
72287,6123815,1st Intl Bk of Isr 5,Governance Pillar,2.33333,,2,,3,,2014-12
67874,2889768,3-D Systems         ,Environmental Pillar,2.5,,0,,1,,2014-12
67874,2889768,3-D Systems         ,Social Pillar,2.66667,,0.5,,1,,2014-12
67874,2889768,3-D Systems         ,Governance Pillar,2,,4,,9,,2014-12
30280,B1YW440,3i Group            ,Environmental Pillar,1,,3,,8,,2014-12
30280,B1YW440,3i Group            ,Social Pillar,1,,2.5,,9,,2014-12
30280,B1YW440,3i Group            ,Governance Pillar,2.33333,,3.1,,8,,2014-12
2196,2595708,3M Company          ,Environmental Pillar,2.25,,2.2,,6,,2014-12
2196,2595708,3M Company          ,Social Pillar,2,,2.8,,8,,2014-12
2196,2595708,3M Company          ,Governance Pillar,2.66667,,2.4,,4,,2014-12
30293,6804165,77 Bank             ,Environmental Pillar,1,,2,,4,,2014-12
30293,6804165,77 Bank             ,Social Pillar,2,,0.8,,3,,2014-12
30293,6804165,77 Bank             ,Governance Pillar,2.33333,,2.3,,4,,2014-12
321,4253048,A P Moller - Maersk ,Environmental Pillar,3,,2.3,,6,,2014-12
321,4253048,A P Moller - Maersk ,Social Pillar,3,,2.7,,8,,2014-12
321,4253048,A P Moller - Maersk ,Governance Pillar,2.75,,4,,9,,2014-12
10141,4253059,A P Moller Maersk A ,Environmental Pillar,3,,2.3,,6,,2014-12
10141,4253059,A P Moller Maersk A ,Social Pillar,3,,2.7,,8,,2014-12
10141,4253059,A P Moller Maersk A ,Governance Pillar,2.75,,4,,9,,2014-12
4159,B85LKS1,AAC Technologies Hol,Environmental Pillar,2.25,,0.4,,2,,2014-12
4159,B85LKS1,AAC Technologies Hol,Social Pillar,2.5,,0,,1,,2014-12
4159,B85LKS1,AAC Technologies Hol,Governance Pillar,2.33333,,2,,3,,2014-12
